	community	medium	receiver	donor	compound	scs	mus	mps	smetana
1834	community119	minimal	Aminobacterium_colombiense_DTU-UNIPD933	Burkholderiales_sp_DTU-UNIPD944	M_but_e	1.0	1.0	1	1.0
2038	community1212	minimal	Clostridia_sp_DTU-UNIPD924	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	M_but_e	1.0	0.01	1	0.01
4910	community15	minimal	Petrimonas_sp_DTU-UNIPD925	Clostridiales_sp_DTU-UNIPD956	M_but_e	1.0	1.0	1	1.0
14736	community837	minimal	Clostridiales_sp_DTU-UNIPD956	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	M_but_e	1.0	0.04	1	0.04
